,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,8950.0,5801.0,1907.0,1242.0,1294.0,1890.0,5523.0,243.0,3049.0,1888.0,2668.0,1102.0,243.0,1950.0,1887.0,952.0,243.0,1956.0,1962.0,1927.0,1917.0,1879.0,118.0,979.0,204.0,1926.0,1908.0,980.0,925.0,118.0,1935.0,204.0,979.0,1901.0
Seg_Pct,1.0,0.6481564245810056,0.21307262569832403,0.1387709497206704,0.14458100558659218,0.2111731843575419,0.6170949720670391,0.027150837988826816,0.3406703910614525,0.21094972067039106,0.29810055865921786,0.12312849162011173,0.027150837988826816,0.21787709497206703,0.21083798882681565,0.10636871508379889,0.027150837988826816,0.21854748603351956,0.21921787709497206,0.2153072625698324,0.21418994413407821,0.2099441340782123,0.013184357541899441,0.1093854748603352,0.022793296089385476,0.215195530726257,0.21318435754189943,0.10949720670391061,0.10335195530726257,0.013184357541899441,0.21620111731843575,0.022793296089385476,0.1093854748603352,0.2124022346368715
BALANCE,1.0570654369303276,1.0927441446824884,1.132259415062973,0.7749663226234227,0.8167893932608554,1.1322738572531719,1.097932301143509,0.8227674741681247,1.1242840175850526,1.132406222964746,1.0557994837202083,0.796737952054331,0.8227674741681247,1.162174573017111,1.132419443129619,0.7728275457513983,0.8227674741681247,1.071232942592422,1.0329377158351616,1.0735584044352882,1.1626113644440241,1.1329781899061717,0.09917790780812928,0.8473212766446528,0.965457431975005,1.0364552292977367,1.1627169700185347,0.8479490634796012,1.0994313534719642,0.09917790780812928,1.073791785310934,0.965457431975005,1.159756959303653,1.0375918572227099
BALANCE_FREQUENCY,0.8780833200000044,0.964215076883304,0.9287486816990027,0.39799542431562057,0.4765839142194755,0.9276700857142848,0.9727663793228376,0.47844013991769535,0.9743999708101,0.9283157304025413,0.9568584801349299,0.42294076678765913,0.47844013991769535,0.9837007528205124,0.9281573004769466,0.38668530882353036,0.47844013991769535,0.964857200920244,0.9263763338430123,0.9678498811624274,0.9837047068335937,0.9300576274614147,0.11083433898305076,0.4329131971399389,0.5525269754901966,0.9402091448598086,0.9836754884696012,0.4365989193877551,0.8897753827027015,0.11083433898305076,0.9671214759689909,0.5525269754901966,0.9574738457609802,0.9450514497632783
PURCHASES,0.8392809845597995,1.0985200886972317,0.00047840274932473324,0.916374769109967,0.9741795630570103,0.0004827058428371779,1.099322842729139,0.7345847027918524,1.115677795559641,0.0005529113042479547,1.0779122444086948,0.9568469743607951,0.7345847027918524,1.1093681573343492,0.0003290199709887316,0.9360136661397241,0.7345847027918524,1.0711229316447581,1.1126251259339237,1.0712218845172943,1.1094504834439827,0.00033042080109405876,0.8406723804906938,0.9534147553765167,0.6989942609535136,1.1135491107227182,1.1098239849356906,0.9805289311475319,0.0005076467802681999,0.8406723804906938,1.071432393694243,0.6989942609535136,0.0004522377642637195,1.113716007393246
ONEOFF_PURCHASES,0.5592294915440359,0.7730462412212321,0.00047840274932473324,0.41847857484040824,0.45638094457670925,0.0004827058428371779,0.7794927187264522,0.44648727352962553,0.9066277451285455,0.0005529113042479547,0.6091002481942134,0.459325034691379,0.44648727352962553,0.8955807800314252,0.0003290199709887316,0.4325410824750972,0.44648727352962553,0.6161269921443321,0.7811827996708904,0.6174500665074092,0.8967159144715995,0.00033042080109405876,0.18497625073781176,0.458103888954103,0.5072009852741761,0.7901726358063227,0.8961856097591056,0.47338545892968953,0.0005076467802681999,0.18497625073781176,0.6188362209720236,0.5072009852741761,0.0004522377642637195,0.7930602082802923
INSTALLMENTS_PURCHASES,0.6025071271896748,0.8024210402502834,0.0009699960682517976,0.5923869173538948,0.6515912328526724,0.0009787209006117345,0.8054916411715852,0.4061712606724708,0.8160292911875997,0.000979757681226789,0.7935382259194264,0.6230999037368351,0.4061712606724708,0.788391044028295,0.0009802768956842492,0.6002288628412313,0.4061712606724708,0.7617147452349127,0.8629943601134021,0.7618971099376854,0.7858996135190697,0.0009844505067355923,0.7052701708705076,0.6016395124802537,0.3226852923020771,0.8711261440129453,0.7878766698915297,0.6185469768040928,0.0009452644151295913,0.7052701708705076,0.7605527600918514,0.3226852923020771,0.0009963359736070542,0.873448191401523
CASH_ADVANCE,0.5368142964720682,0.4228098292052092,1.1129130253161177,0.18473671089192623,0.14674576600342124,1.112650832202681,0.43304482346743006,0.4937543182835993,0.512945418386694,1.112659480817688,0.3194932532128992,0.1519291960664914,0.4937543182835993,0.6973703233171186,1.1127398371105404,0.1536639884518347,0.4937543182835993,0.3763481006208338,0.17455068764813592,0.3786342669654704,0.6984596548608751,1.1127232946083312,0.17516309435814337,0.16182726891568683,0.5779985516552171,0.18073501874601763,0.6986688702175996,0.13865996946483505,1.0847727367377038,0.17516309435814337,0.38007749909674576,0.5779985516552171,1.1381435061686702,0.18087995503875515
PURCHASES_FREQUENCY,0.4903505483798885,0.6829055426650583,0.0003972595700052438,0.3432727705314013,0.40124586089644504,0.0004008328042328042,0.6880699384392549,0.28171777777777807,0.7105083240406698,0.00040125741525423727,0.656409134932535,0.3645943393829404,0.28171777777777807,0.662587249743591,0.00035730842607313194,0.33726985924369807,0.28171777777777807,0.6283807264826191,0.752939349133537,0.6291654239750922,0.6620563484611385,0.00035882969664715274,0.45811561016949165,0.342832260469868,0.23933217647058846,0.7621418411214951,0.6629705115303995,0.3561002428571435,0.0005405394594594594,0.45811561016949165,0.6286806253229987,0.23933217647058846,0.00026310010214504595,0.7651633056286163
ONEOFF_PURCHASES_FREQUENCY,0.20245768357542138,0.29694760386140584,0.000222465128474043,0.07164168840579724,0.08716574111282839,0.00022446613756613756,0.30201367481441493,0.12657626337448555,0.38908952115447837,0.0002247039194915254,0.1883683755622182,0.08340582486388397,0.12657626337448555,0.34640371076923204,0.00018066136724960254,0.07208169642857162,0.12657626337448555,0.1798318236196319,0.34915253312946076,0.18011146133886874,0.346620805946793,0.00018143054816391698,0.032785440677966106,0.07832780796731376,0.14771094607843133,0.3579563084112159,0.3467022023060808,0.08208678061224509,0.00018017945945945948,0.032785440677966106,0.18033478036175715,0.14771094607843133,0.00026310010214504595,0.3612149736980546
PURCHASES_INSTALLMENTS_FREQUENCY,0.3644373415642452,0.5063955714531967,0.0003058904037755637,0.26049127536231903,0.3030609520865538,0.0003086417989417989,0.5115896271953636,0.1788497572016462,0.5125188589701533,0.00030896875,0.5070674535232378,0.27417823593466445,0.1788497572016462,0.4835088358974358,0.00030913248542660304,0.2544727426470586,0.1788497572016462,0.47769924795500945,0.5597300575942906,0.4775816222106894,0.4831509942618674,0.000310448642895157,0.42454692372881353,0.25350039121552587,0.11904493627450978,0.5670155996884725,0.48451281761006276,0.2630206275510202,0.0005405405405405405,0.42454692372881353,0.47674120413436616,0.11904493627450978,8.512053115423903e-05,0.5691974061020505
CASH_ADVANCE_FREQUENCY,0.13401668815642637,0.10945673849336329,0.28025895595175604,0.024184371980676318,0.02063772102009272,0.2802974402116394,0.11271322560202787,0.08422568312757198,0.14426665168907807,0.280506088453389,0.07074876424287858,0.018838746823956424,0.08422568312757198,0.20508052461538429,0.28056641706412216,0.01939107352941175,0.08422568312757198,0.08469036912065436,0.03340061264016316,0.08536811728074725,0.20530539540949366,0.2811489244278863,0.01811636440677966,0.022561510725229807,0.09951066176470584,0.035602336448598185,0.2053441477987418,0.018909893877551,0.23160553189189229,0.01811636440677966,0.08610003462532297,0.09951066176470584,0.3247699029622061,0.0357152572330353
CASH_ADVANCE_TRX,0.31609304925156284,0.25216651871452117,0.6563957201785634,0.09216439400804453,0.07391848139555617,0.6564204152542021,0.2586366572823464,0.26459848919652984,0.31212893173390754,0.6565044173101968,0.1837796544855241,0.07554427134388447,0.26459848919652984,0.43154008417210515,0.6566388437852075,0.07557635171728888,0.26459848919652984,0.21871193131837507,0.09398851736737023,0.2200205211228473,0.4323401999039131,0.6571397751782692,0.07453444128118776,0.08278146383809416,0.31103608411974487,0.09771649402535366,0.4323858097411546,0.07065649572526025,0.613339106008217,0.07453444128118776,0.22097182595096687,0.31103608411974487,0.6957462638662271,0.09810422208057466
PURCHASES_TRX,0.5957888102716611,0.7955425050943361,0.0015528321972474118,0.5752065449911481,0.6263443890799318,0.0015667994709792669,0.7980664852752904,0.4573570505612972,0.8233508297339635,0.0015684592161815754,0.7646277374945117,0.6059776353454299,0.4573570505612972,0.8077086853158583,0.0013451060641157457,0.5832353992840442,0.4573570505612972,0.7500429474274627,0.826339363837704,0.750670165880409,0.8076841145010794,0.001350832965932098,0.564989702002477,0.596010085475532,0.42362053568073293,0.8298642429089279,0.8080861144730899,0.6150345270810416,0.0018293442471974141,0.564989702002477,0.7507116028498176,0.42362053568073293,0.0012963305122504658,0.8306534099671862
CREDIT_LIMIT,1.1639430838510254,1.166394864045135,1.1616136482252828,1.1560682503824862,1.1565336659354666,1.1614874933702937,1.1666538587515363,1.1608864707466326,1.1875436271132285,1.1614814953985282,1.1408300497442454,1.1594945852785743,1.1608864707466326,1.1859946651717301,1.1615238965702004,1.1555887983166249,1.1608864707466326,1.1331874660906327,1.1794468799651574,1.1331878138042313,1.186382303891514,1.1615566037549125,1.1558538938085685,1.1563143882092641,1.1611600238301478,1.179376302109403,1.186445294597928,1.1574984540406494,1.1389914178648677,1.1558538938085685,1.133323082177361,1.1611600238301478,1.182090611094438,1.179444058539446
PAYMENTS,1.0815608832654786,1.1080692103381664,1.1000134504076047,0.9294160757866542,1.0759119120595377,1.1108943596298084,1.1203086665374822,0.00281804952319097,1.1394850506725143,1.111090773507234,1.0946179548618504,1.0769647148260508,0.00281804952319097,1.1437820091797717,1.111078026425841,1.0725228492300247,0.00281804952319097,1.0916830985332433,1.1192314333474769,1.0923545113792332,1.1439811810610017,1.111235425211892,0.70679569964469,1.0766743848486748,0.003101435923817863,1.1193565241317538,1.1441380463267001,1.0774941242907834,1.089439969935415,0.70679569964469,1.0925281413190389,0.003101435923817863,1.1309136899448202,1.1194304352680642
MINIMUM_PAYMENTS,1.0717170871204313,1.0786019349144222,1.0925616660665782,1.0075547569245142,0.9950328498353888,1.0924031160061127,1.0809936724999094,1.10833530688159,1.0950657293283328,1.0925054133724648,1.0596093644239992,0.992739597734159,1.10833530688159,1.1265042935005827,1.0925037827787374,0.9905870137017482,1.10833530688159,1.067998182933188,1.0358109871888779,1.0695565465155588,1.1269889401630895,1.0929889970470028,1.0593663586158695,0.9885776404433844,1.1092090965422687,1.0371583306557552,1.127173774719996,0.9895251347295816,1.0616670984992886,1.0593663586158695,1.069584416365947,1.1092090965422687,1.1196091521416631,1.0375678999416724
PRC_FULL_PAYMENT,0.1537146484916212,0.17705496242027333,0.032957277923440054,0.2301133156199678,0.2902018462132921,0.03317813333333343,0.16974800706138063,0.0,0.1621287799278451,0.03325741790254247,0.19377735344827593,0.27370913793103446,0.0,0.03081327692307704,0.03327504239533661,0.25704249894957987,0.0,0.14052272546012287,0.3737529556574932,0.13872976491956418,0.03088371100678153,0.032808487493347624,0.036007771186440676,0.2767994239019408,0.0,0.3698479086189,0.03097115461215943,0.2839398193877552,0.047985196756756804,0.036007771186440676,0.13808012093023267,0.0,0.02363377323799794,0.36792971909521377
TENURE,11.51731843575419,11.61420444750905,11.40534871525957,11.23671497584541,11.301391035548686,11.398941798941799,11.6328082563824,10.962962962962964,11.794686782551656,11.398305084745763,11.37368815592204,11.42377495462795,10.962962962962964,11.766666666666667,11.400105988341283,11.364495798319327,10.962962962962964,11.268916155419223,11.772680937818553,11.284898806434873,11.772039645279081,11.400745077168708,11.5,11.334014300306436,10.838235294117647,11.776220145379025,11.776205450733753,11.36530612244898,11.207567567567567,11.5,11.28217054263566,10.838235294117647,11.556690500510726,11.779589689637033
cluster_3,0.4906145251396648,0.0,1.0,2.0,1.6584234930448223,1.0021164021164022,0.0,1.4444444444444444,0.0,1.0005296610169492,0.041604197901049474,1.851179673321234,1.4444444444444444,0.0005128205128205128,1.0005299417064122,1.9936974789915967,1.4444444444444444,0.05265848670756646,0.0764525993883792,0.027503892060197196,0.0005216484089723526,0.9994678020223523,2.0,1.9387129724208376,1.338235294117647,0.02699896157840083,0.0,1.9255102040816328,1.0183783783783784,2.0,0.024806201550387597,1.338235294117647,1.0,0.013677012098895318
cluster_4,1.5268156424581005,1.9341492846061024,1.0188778185631882,0.40418679549114334,0.0,1.0,2.0,3.0,1.9934404722859953,1.0005296610169492,1.8616941529235382,0.0018148820326678765,3.0,1.9994871794871796,1.0005299417064122,0.0021008403361344537,3.0,1.8747443762781186,1.7737003058103975,1.9008822003113648,1.9994783515910277,1.0005321979776476,0.9915254237288136,0.012257405515832482,3.0,1.8421599169262721,2.0,0.003061224489795918,0.9837837837837838,0.9915254237288136,1.9018087855297157,3.0,1.0,1.8663861125723304
cluster_5,1.2851396648044693,0.9825892087571109,1.032511798636602,3.0861513687600644,2.8346213292117466,1.0026455026455026,0.8993300742350172,4.0,0.0,1.0,2.0,3.0,4.0,0.04051282051282051,1.0010598834128246,2.9968487394957983,4.0,1.9902862985685073,0.9255861365953109,1.9906590555267254,0.0297339593114241,1.0,3.330508474576271,2.940755873340143,4.0,0.8525441329179647,0.029350104821802937,2.951020408163265,1.0356756756756758,3.330508474576271,1.986046511627907,4.0,1.0,0.823250920568122
cluster_6,2.4753072625698325,2.970177555593863,1.022024121657053,2.395330112721417,2.7032457496136013,1.0021164021164022,2.9029512945862757,3.0,1.8645457527058051,1.0,4.196776611694153,2.4092558983666064,3.0,0.0,1.0,2.0,3.0,4.0,5.0,3.9761286974571872,0.0026082420448617634,1.0,2.330508474576271,2.258426966292135,3.0,4.937694704049845,0.005241090146750524,2.339795918367347,1.0216216216216216,2.330508474576271,3.9700258397932817,3.0,0.9989785495403473,4.923198316675434
cluster_7,2.516312849162011,2.363730391311843,2.0367068694284214,3.965378421900161,3.8802163833075736,2.008994708994709,2.2752127466956362,4.679012345679013,2.8848802886192195,2.0079449152542375,1.6071964017991005,4.0916515426497275,4.679012345679013,1.0492307692307692,2.0084790673025967,3.917016806722689,4.679012345679013,0.1032719836400818,5.9209989806320085,0.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0026205450733752,4.038775510204082,2.0497297297297297,3.0,0.024806201550387597,5.0,1.9989785495403474,5.983692793266702
cluster_8,3.477653631284916,3.6521289432856405,4.082852648138437,1.7334943639291465,1.9428129829984544,4.071428571428571,3.581205866376969,4.679012345679013,2.667103968514267,4.075211864406779,4.670164917541229,1.544464609800363,4.679012345679013,0.12974358974358974,4.073661897191309,1.1838235294117647,4.679012345679013,3.9775051124744376,6.697757390417941,3.997405293201868,0.0297339593114241,4.0830228845130385,3.0,1.0245148110316649,5.0,6.913811007268952,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0
